,Discipline,year_delta,num_of_pub
1,CHEMISTRY,-9,1.0
2,CHEMISTRY,-8,2.0
3,CHEMISTRY,-7,1.6
4,CHEMISTRY,-6,1.6
5,CHEMISTRY,-5,2.2222222222222223
6,CHEMISTRY,-4,2.6363636363636362
7,CHEMISTRY,-3,1.2857142857142858
8,CHEMISTRY,-2,2.0476190476190474
9,CHEMISTRY,-1,2.28
10,CHEMISTRY,0,2.6
11,CHEMISTRY,1,3.04
12,CHEMISTRY,2,3.04
13,CHEMISTRY,3,4.64
14,CHEMISTRY,4,5.875
15,CHEMISTRY,5,7.416666666666667
16,CHEMISTRY,6,8.416666666666666
17,CHEMISTRY,7,9.5
18,CHEMISTRY,8,8.8
19,ENGINEERING AND MATERIALS SCIENCE,-10,1.0
20,ENGINEERING AND MATERIALS SCIENCE,-9,1.6666666666666667
21,ENGINEERING AND MATERIALS SCIENCE,-8,1.25
22,ENGINEERING AND MATERIALS SCIENCE,-7,1.0
23,ENGINEERING AND MATERIALS SCIENCE,-6,1.6666666666666667
24,ENGINEERING AND MATERIALS SCIENCE,-5,1.4
25,ENGINEERING AND MATERIALS SCIENCE,-4,1.8571428571428572
26,ENGINEERING AND MATERIALS SCIENCE,-3,2.1
27,ENGINEERING AND MATERIALS SCIENCE,-2,1.36
28,ENGINEERING AND MATERIALS SCIENCE,-1,2.0357142857142856
29,ENGINEERING AND MATERIALS SCIENCE,0,2.1379310344827585
30,ENGINEERING AND MATERIALS SCIENCE,1,2.2413793103448274
31,ENGINEERING AND MATERIALS SCIENCE,2,2.0
32,ENGINEERING AND MATERIALS SCIENCE,3,2.7241379310344827
33,ENGINEERING AND MATERIALS SCIENCE,4,3.9655172413793105
34,ENGINEERING AND MATERIALS SCIENCE,5,5.862068965517241
35,ENGINEERING AND MATERIALS SCIENCE,6,8.0
36,ENGINEERING AND MATERIALS SCIENCE,7,8.272727272727273
37,ENGINEERING AND MATERIALS SCIENCE,8,8.88888888888889
38,ENVIRONMENTAL AND EARTH SCIENCE,-6,1.0
39,ENVIRONMENTAL AND EARTH SCIENCE,-5,3.5
40,ENVIRONMENTAL AND EARTH SCIENCE,-4,0.75
41,ENVIRONMENTAL AND EARTH SCIENCE,-3,2.5714285714285716
42,ENVIRONMENTAL AND EARTH SCIENCE,-2,2.588235294117647
43,ENVIRONMENTAL AND EARTH SCIENCE,-1,2.2777777777777777
44,ENVIRONMENTAL AND EARTH SCIENCE,0,2.5
45,ENVIRONMENTAL AND EARTH SCIENCE,1,3.0555555555555554
46,ENVIRONMENTAL AND EARTH SCIENCE,2,2.7777777777777777
47,ENVIRONMENTAL AND EARTH SCIENCE,3,3.5555555555555554
48,ENVIRONMENTAL AND EARTH SCIENCE,4,4.5
49,ENVIRONMENTAL AND EARTH SCIENCE,5,6.0
50,ENVIRONMENTAL AND EARTH SCIENCE,6,6.833333333333333
51,ENVIRONMENTAL AND EARTH SCIENCE,7,10.833333333333334
52,ENVIRONMENTAL AND EARTH SCIENCE,8,12.0
55,INFORMATION SCIENCE,-8,0.5
56,INFORMATION SCIENCE,-7,0.5
57,INFORMATION SCIENCE,-6,0.5714285714285714
58,INFORMATION SCIENCE,-5,0.5714285714285714
59,INFORMATION SCIENCE,-4,2.3333333333333335
60,INFORMATION SCIENCE,-3,2.5833333333333335
61,INFORMATION SCIENCE,-2,2.4285714285714284
62,INFORMATION SCIENCE,-1,2.4375
63,INFORMATION SCIENCE,0,2.411764705882353
64,INFORMATION SCIENCE,1,2.588235294117647
65,INFORMATION SCIENCE,2,2.588235294117647
66,INFORMATION SCIENCE,3,4.352941176470588
67,INFORMATION SCIENCE,4,5.176470588235294
68,INFORMATION SCIENCE,5,7.0
69,INFORMATION SCIENCE,6,7.0625
70,INFORMATION SCIENCE,7,8.1
71,INFORMATION SCIENCE,8,10.25
72,LIFE SCIENCE,-8,1.0
73,LIFE SCIENCE,-7,2.0
74,LIFE SCIENCE,-6,1.5
75,LIFE SCIENCE,-5,1.0
76,LIFE SCIENCE,-4,1.0
77,LIFE SCIENCE,-3,1.1153846153846154
78,LIFE SCIENCE,-2,1.3448275862068966
79,LIFE SCIENCE,-1,1.2903225806451613
80,LIFE SCIENCE,0,1.4516129032258065
81,LIFE SCIENCE,1,1.3870967741935485
82,LIFE SCIENCE,2,1.5483870967741935
83,LIFE SCIENCE,3,1.903225806451613
84,LIFE SCIENCE,4,2.129032258064516
85,LIFE SCIENCE,5,2.7666666666666666
86,LIFE SCIENCE,6,4.033333333333333
87,LIFE SCIENCE,7,3.782608695652174
88,LIFE SCIENCE,8,5.666666666666667
89,LIFE SCIENCE,9,3.5
90,PHYSICS AND MATHEMATICS,-7,1.5
91,PHYSICS AND MATHEMATICS,-6,1.0
92,PHYSICS AND MATHEMATICS,-5,0.75
93,PHYSICS AND MATHEMATICS,-4,1.4375
94,PHYSICS AND MATHEMATICS,-3,2.36
95,PHYSICS AND MATHEMATICS,-2,2.107142857142857
96,PHYSICS AND MATHEMATICS,-1,2.7419354838709675
97,PHYSICS AND MATHEMATICS,0,3.2580645161290325
98,PHYSICS AND MATHEMATICS,1,2.7096774193548385
99,PHYSICS AND MATHEMATICS,2,2.3225806451612905
100,PHYSICS AND MATHEMATICS,3,2.096774193548387
101,PHYSICS AND MATHEMATICS,4,3.3225806451612905
102,PHYSICS AND MATHEMATICS,5,4.612903225806452
103,PHYSICS AND MATHEMATICS,6,5.32258064516129
104,PHYSICS AND MATHEMATICS,7,5.15
105,PHYSICS AND MATHEMATICS,8,4.0
