,time,discipline,cohort_g,cohort_ts,YTT_g,YTT_ts
0,-5,chemistry,0.0,0.4375,0.0,0.0
1,-5,engineering and materials science,0.0,0.03333333333333333,6000.0,0.0
2,-5,environmental and earth science,0.0,0.0,0.0,0.0
3,-5,information science,20838.451866666666,1.0,9642.857142857143,0.0
4,-5,life science,2973.714285714286,0.061224489795918366,0.0,0.0
5,-5,physics and mathematics,293.36315789473684,0.5263157894736842,27500.0,0.0
6,-4,chemistry,0.0,0.30434782608695654,0.0,0.0
7,-4,engineering and materials science,10852.345370370369,0.25,0.0,0.14285714285714285
8,-4,environmental and earth science,0.0,0.15384615384615385,0.0,0.25
9,-4,information science,30014.890952380953,0.3939393939393939,7500.0,0.6666666666666666
10,-4,life science,2616.848484848485,0.42424242424242425,0.0,0.0
11,-4,physics and mathematics,841.3363636363637,0.30303030303030304,12500.0,0.125
12,-3,chemistry,0.0,0.6785714285714286,0.0,0.35714285714285715
13,-3,engineering and materials science,9087.20874074074,0.6666666666666666,0.0,0.15
14,-3,environmental and earth science,9058.928571428572,0.5,0.0,0.0
15,-3,information science,35881.12142857143,0.21621621621621623,5625.0,1.0
16,-3,life science,1904.7619047619046,0.4025974025974026,0.0,0.0
17,-3,physics and mathematics,27773.616279069767,0.32558139534883723,6480.0,0.72
18,-2,chemistry,1480.0,1.1764705882352942,0.0,0.9047619047619048
19,-2,engineering and materials science,10914.714081632652,1.0714285714285714,0.5,0.44
20,-2,environmental and earth science,10798.209415584417,0.3181818181818182,0.0,0.23529411764705882
21,-2,information science,46034.41422764227,0.36585365853658536,4821.428571428572,0.42857142857142855
22,-2,life science,2817.0882352941176,0.4,0.0,0.0
23,-2,physics and mathematics,39509.355142857145,0.42,8357.142857142857,0.7857142857142857
24,-1,chemistry,6296.091,1.925,0.0,0.44
25,-1,engineering and materials science,9619.415208791208,1.476923076923077,0.44642857142857145,0.21428571428571427
26,-1,environmental and earth science,18548.0373015873,0.7037037037037037,41203.7037037037,0.4444444444444444
27,-1,information science,59867.986147186144,0.8181818181818182,0.0,0.8125
28,-1,life science,5286.425724637681,0.6304347826086957,0.0,0.22580645161290322
29,-1,physics and mathematics,42077.61878028404,0.9298245614035088,5225.806451612903,0.5483870967741935
30,0,chemistry,6425.308837209303,1.3488372093023255,15403.966666666665,0.72
31,0,engineering and materials science,17313.12484126984,1.875,2155.603448275862,0.034482758620689655
32,0,environmental and earth science,35621.3894909688,0.5172413793103449,46573.822222222225,0.2777777777777778
33,0,information science,54816.43095238096,1.1521739130434783,8709.70588235294,0.29411764705882354
34,0,life science,6540.048913043478,0.6847826086956522,967.741935483871,0.0
35,0,physics and mathematics,41235.53110016421,1.5862068965517242,39182.43727598566,0.5806451612903226
36,1,chemistry,8936.193720930232,3.186046511627907,260045.32722036313,1.28
37,1,engineering and materials science,24185.308267195767,2.5416666666666665,293093.6006663679,0.5862068965517241
38,1,environmental and earth science,39964.76715927751,0.3448275862068966,292285.1510684553,0.6666666666666666
39,1,information science,55354.76761904762,1.3043478260869565,356023.2721254325,1.1176470588235294
40,1,life science,26173.346480331264,0.8586956521739131,288228.1485445497,1.096774193548387
41,1,physics and mathematics,45762.76291050903,2.0517241379310347,350499.85406167293,0.967741935483871
42,2,chemistry,29182.71984496124,3.8372093023255816,382678.67693050765,2.96
43,2,engineering and materials science,34626.915813492065,2.888888888888889,365075.2448103125,1.0
44,2,environmental and earth science,34868.384893267656,0.5862068965517241,390025.6891124791,0.7777777777777778
45,2,information science,83494.352815735,1.7173913043478262,389225.41020121466,2.411764705882353
46,2,life science,37385.96097308489,1.3804347826086956,384822.85827568575,1.7741935483870968
47,2,physics and mathematics,49547.00601395731,2.6206896551724137,409717.0615536257,0.45161290322580644
48,3,chemistry,44371.13612403101,4.069767441860465,330132.11387032573,6.36
49,3,engineering and materials science,55542.735072751326,2.9166666666666665,310919.5110345241,2.7241379310344827
50,3,environmental and earth science,39234.077996715925,0.6896551724137931,324479.138441006,2.111111111111111
51,3,information science,102949.47234989647,2.0652173913043477,330673.53381418175,3.4705882352941178
52,3,life science,47256.42945134576,1.75,366243.10271475266,3.3548387096774195
53,3,physics and mathematics,68759.19549671593,3.0344827586206895,336103.7008798088,2.2580645161290325
54,4,chemistry,60267.72356589147,5.0,175140.2046547352,10.5
55,4,engineering and materials science,62108.05053571429,3.888888888888889,109353.81085821906,5.275862068965517
56,4,environmental and earth science,50402.946141215114,0.6206896551724138,216491.61887909638,2.9444444444444446
57,4,information science,98515.79326086957,2.9347826086956523,140936.0813663186,6.235294117647059
58,4,life science,66347.36239648033,2.2282608695652173,175230.2403653537,6.387096774193548
59,4,physics and mathematics,98881.9884852217,2.810344827586207,152269.81473623007,4.935483870967742
60,5,chemistry,72669.10015873016,5.357142857142857,85845.67530959369,11.0
61,5,engineering and materials science,55396.095555555556,4.180555555555555,49601.723384911675,4.931034482758621
62,5,environmental and earth science,64956.201395730706,1.2413793103448276,130819.85223461229,3.5
63,5,information science,105051.6366563147,2.869565217391304,100964.69667890898,6.235294117647059
64,5,life science,81917.21766091052,2.2857142857142856,114877.07975923613,8.966666666666667
65,5,physics and mathematics,115159.50818965519,4.120689655172414,135257.36658530365,4.903225806451613
